c.entropy,m.entropy,block,participant,condition,symbol,c.ent.norm
0.918295834,1.584962501,0,da,Correspondence,s7,0.459147917
0,1.584962501,0,da,Correspondence,s3,0
0,0,0,da,Correspondence,s11,0
0,0,0,da,Correspondence,s14,0
0,1,0,da,Correspondence,s15,0
1,2,0,da,Correspondence,s5,0.5
0,1,0,da,Correspondence,s1,0
0,1.584962501,1,da,Correspondence,s3,0
0.918295834,1.584962501,1,da,Correspondence,s7,0.459147917
0,0,1,da,Correspondence,s14,0
0,1,1,da,Correspondence,s11,0
0,0,1,da,Correspondence,s15,0
0.918295834,1.584962501,1,da,Correspondence,s5,0.459147917
0,1,1,da,Correspondence,s1,0
0,0,1,da,Correspondence,s13,0
0,2,2,da,Correspondence,s3,0
0,1,2,da,Correspondence,s15,0
0,1,2,da,Correspondence,s11,0
0,1,2,da,Correspondence,s7,0
1,2,2,da,Correspondence,s5,0.5
0,1,2,da,Correspondence,s1,0
0,1.584962501,3,da,Correspondence,s3,0
0,0,3,da,Correspondence,s15,0
0,1,3,da,Correspondence,s11,0
0,1.584962501,3,da,Correspondence,s7,0
0.918295834,1.584962501,3,da,Correspondence,s5,0.459147917
0.918295834,1.584962501,3,da,Correspondence,s1,0.459147917
0,0,3,da,Correspondence,s9,0
0,1.584962501,0,db,Correspondence,s1,0
0,0,0,db,Correspondence,s3,0
0,0,0,db,Correspondence,s14,0
0,0,0,db,Correspondence,s9,0
0,0,0,db,Correspondence,s2,0
1.584962501,1.584962501,0,db,Correspondence,s16,0.792481251
0,0,0,db,Correspondence,s7,0
0,0,0,db,Correspondence,s1,0
0,0,0,db,Correspondence,s11,0
0,1,0,db,Correspondence,s13,0
0,0,0,db,Correspondence,s8,0
0,2,1,db,Correspondence,s1,0
1,1,1,db,Correspondence,s14,0.5
0,0,1,db,Correspondence,s16,0
0,0,1,db,Correspondence,s13,0
0,0,1,db,Correspondence,s2,0
0,0,1,db,Correspondence,s9,0
0,0,1,db,Correspondence,s3,0
0,0,1,db,Correspondence,s7,0
0,0,1,db,Correspondence,s12,0
0,0,1,db,Correspondence,s10,0
0,0,1,db,Correspondence,s6,0
0,0,1,db,Correspondence,s11,0
0,2,2,db,Correspondence,s1,0
0.811278124,2,2,db,Correspondence,s2,0.405639062
0,0,2,db,Correspondence,s4,0
0,1,2,db,Correspondence,s3,0
1,1,2,db,Correspondence,s9,0.5
0,0,2,db,Correspondence,s14,0
0,1,2,db,Correspondence,s16,0
0,2,3,db,Correspondence,s1,0
0,1.584962501,3,db,Correspondence,s2,0
1,1,3,db,Correspondence,s16,0.5
1,2.584962501,3,db,Correspondence,s9,0.5
0,0,3,db,Correspondence,s14,0
0,0,0,dc,Correspondence,s4,0
1,1,0,dc,Correspondence,s5,0.5
1,1,0,dc,Correspondence,s1,0.5
0,0,0,dc,Correspondence,s7,0
0,0,0,dc,Correspondence,s12,0
0,0,0,dc,Correspondence,s6,0
0,0,0,dc,Correspondence,s14,0
1,1,0,dc,Correspondence,s16,0.5
1,1,0,dc,Correspondence,s13,0.5
1,1,0,dc,Correspondence,s15,0.5
0,0,0,dc,Correspondence,s2,0
0,1,1,dc,Correspondence,s3,0
0,1,1,dc,Correspondence,s4,0
0,1,1,dc,Correspondence,s1,0
0,1,1,dc,Correspondence,s5,0
1,2,1,dc,Correspondence,s15,0.5
0.918295834,1.584962501,1,dc,Correspondence,s16,0.459147917
0,0,1,dc,Correspondence,s11,0
0,1,2,dc,Correspondence,s4,0
0,0,2,dc,Correspondence,s3,0
0,0,2,dc,Correspondence,s8,0
0,1.584962501,2,dc,Correspondence,s5,0
0,0,2,dc,Correspondence,s1,0
0.970950594,2.321928095,2,dc,Correspondence,s16,0.485475297
0,0,2,dc,Correspondence,s13,0
0,0,2,dc,Correspondence,s9,0
0,0,2,dc,Correspondence,s15,0
0,0,3,dc,Correspondence,s3,0
0,0,3,dc,Correspondence,s8,0
0,1,3,dc,Correspondence,s7,0
0,1.584962501,3,dc,Correspondence,s5,0
0,0,3,dc,Correspondence,s1,0
0,1,3,dc,Correspondence,s13,0
0.918295834,1.584962501,3,dc,Correspondence,s15,0.459147917
0.918295834,1.584962501,3,dc,Correspondence,s16,0.459147917
0.811278124,2,0,dd,Correspondence,s2,0.405639062
1,1,0,dd,Correspondence,s12,0.5
0.811278124,2,0,dd,Correspondence,s4,0.405639062
