entropy,participant,block,condition,category,ent_norm
2,aa,0,Mnemonic,blue,1
1.5,aa,0,Mnemonic,green,0.75
2,aa,0,Mnemonic,purple,1
1.5,aa,0,Mnemonic,red,0.75
2,aa,1,Mnemonic,blue,1
1.5,aa,1,Mnemonic,green,0.75
1.5,aa,1,Mnemonic,purple,0.75
1.5,aa,1,Mnemonic,red,0.75
2,aa,2,Mnemonic,blue,1
2,aa,2,Mnemonic,green,1
2,aa,2,Mnemonic,purple,1
2,aa,2,Mnemonic,red,1
1,aa,3,Mnemonic,blue,0.5
2,aa,3,Mnemonic,green,1
2,aa,3,Mnemonic,purple,1
2,aa,3,Mnemonic,red,1
0.811278124,ab,0,Mnemonic,blue,0.405639062
1,ab,0,Mnemonic,green,0.5
1.5,ab,0,Mnemonic,purple,0.75
1,ab,0,Mnemonic,red,0.5
1.5,ab,1,Mnemonic,blue,0.75
1,ab,1,Mnemonic,green,0.5
1.5,ab,1,Mnemonic,purple,0.75
1,ab,1,Mnemonic,red,0.5
1.5,ab,2,Mnemonic,blue,0.75
1,ab,2,Mnemonic,green,0.5
1,ab,2,Mnemonic,purple,0.5
1,ab,2,Mnemonic,red,0.5
1.5,ab,3,Mnemonic,blue,0.75
1,ab,3,Mnemonic,green,0.5
1,ab,3,Mnemonic,purple,0.5
1,ab,3,Mnemonic,red,0.5
1.5,ac,0,Mnemonic,blue,0.75
1.5,ac,0,Mnemonic,green,0.75
0,ac,0,Mnemonic,purple,0
1.5,ac,0,Mnemonic,red,0.75
0,ac,1,Mnemonic,blue,0
0,ac,1,Mnemonic,green,0
0,ac,1,Mnemonic,purple,0
0,ac,1,Mnemonic,red,0
0,ac,2,Mnemonic,blue,0
0,ac,2,Mnemonic,green,0
0,ac,2,Mnemonic,purple,0
0,ac,2,Mnemonic,red,0
0,ac,3,Mnemonic,blue,0
0,ac,3,Mnemonic,green,0
0,ac,3,Mnemonic,purple,0
0,ac,3,Mnemonic,red,0
2,ad,0,Mnemonic,blue,1
2,ad,0,Mnemonic,green,1
2,ad,0,Mnemonic,purple,1
1,ad,0,Mnemonic,red,0.5
0.811278124,ad,1,Mnemonic,blue,0.405639062
1.5,ad,1,Mnemonic,green,0.75
1.5,ad,1,Mnemonic,purple,0.75
2,ad,1,Mnemonic,red,1
1.5,ad,2,Mnemonic,blue,0.75
1.5,ad,2,Mnemonic,green,0.75
2,ad,2,Mnemonic,purple,1
1.5,ad,2,Mnemonic,red,0.75
0.811278124,ad,3,Mnemonic,blue,0.405639062
0,ad,3,Mnemonic,green,0
0.811278124,ad,3,Mnemonic,purple,0.405639062
0.811278124,ad,3,Mnemonic,red,0.405639062
1.5,ae,0,Mnemonic,blue,0.75
2,ae,0,Mnemonic,green,1
2,ae,0,Mnemonic,purple,1
1.5,ae,0,Mnemonic,red,0.75
0.811278124,ae,1,Mnemonic,blue,0.405639062
2,ae,1,Mnemonic,green,1
2,ae,1,Mnemonic,purple,1
0.811278124,ae,1,Mnemonic,red,0.405639062
0.811278124,ae,2,Mnemonic,blue,0.405639062
0,ae,2,Mnemonic,green,0
1.5,ae,2,Mnemonic,purple,0.75
0,ae,2,Mnemonic,red,0
0,ae,3,Mnemonic,blue,0
0,ae,3,Mnemonic,green,0
1.5,ae,3,Mnemonic,purple,0.75
0.811278124,ae,3,Mnemonic,red,0.405639062
2,af,0,Mnemonic,blue,1
2,af,0,Mnemonic,green,1
2,af,0,Mnemonic,purple,1
2,af,0,Mnemonic,red,1
1.5,af,1,Mnemonic,blue,0.75
0.811278124,af,1,Mnemonic,green,0.405639062
1.5,af,1,Mnemonic,purple,0.75
2,af,1,Mnemonic,red,1
2,af,2,Mnemonic,blue,1
1.5,af,2,Mnemonic,green,0.75
1.5,af,2,Mnemonic,purple,0.75
1.5,af,2,Mnemonic,red,0.75
2,af,3,Mnemonic,blue,1
2,af,3,Mnemonic,green,1
1.5,af,3,Mnemonic,purple,0.75
