error,participant,block,condition,colour,category
0,aa,0,Mnemonic,blue1,blue
0,aa,0,Mnemonic,blue2,blue
0.25,aa,0,Mnemonic,blue3,blue
0,aa,0,Mnemonic,blue4,blue
0.5,aa,0,Mnemonic,green1,green
0.5,aa,0,Mnemonic,green2,green
0.75,aa,0,Mnemonic,green3,green
0.25,aa,0,Mnemonic,green4,green
0.75,aa,0,Mnemonic,purple1,purple
0.25,aa,0,Mnemonic,purple2,purple
1,aa,0,Mnemonic,purple3,purple
0,aa,0,Mnemonic,purple4,purple
0,aa,0,Mnemonic,red1,red
0,aa,0,Mnemonic,red2,red
0.5,aa,0,Mnemonic,red3,red
0.25,aa,0,Mnemonic,red4,red
0,aa,1,Mnemonic,blue1,blue
0.75,aa,1,Mnemonic,blue2,blue
0.75,aa,1,Mnemonic,blue3,blue
0.25,aa,1,Mnemonic,blue4,blue
0.5,aa,1,Mnemonic,green1,green
0.5,aa,1,Mnemonic,green2,green
0,aa,1,Mnemonic,green3,green
0.25,aa,1,Mnemonic,green4,green
0.5,aa,1,Mnemonic,purple1,purple
0.25,aa,1,Mnemonic,purple2,purple
0.25,aa,1,Mnemonic,purple3,purple
0.25,aa,1,Mnemonic,purple4,purple
0,aa,1,Mnemonic,red1,red
0.5,aa,1,Mnemonic,red2,red
0.5,aa,1,Mnemonic,red3,red
0.75,aa,1,Mnemonic,red4,red
0.25,aa,2,Mnemonic,blue1,blue
0.5,aa,2,Mnemonic,blue2,blue
0.5,aa,2,Mnemonic,blue3,blue
0.5,aa,2,Mnemonic,blue4,blue
0.5,aa,2,Mnemonic,green1,green
0.75,aa,2,Mnemonic,green2,green
0.5,aa,2,Mnemonic,green3,green
0.5,aa,2,Mnemonic,green4,green
0.75,aa,2,Mnemonic,purple1,purple
0.25,aa,2,Mnemonic,purple2,purple
0.5,aa,2,Mnemonic,purple3,purple
0.25,aa,2,Mnemonic,purple4,purple
0.5,aa,2,Mnemonic,red1,red
0.25,aa,2,Mnemonic,red2,red
0,aa,2,Mnemonic,red3,red
0.5,aa,2,Mnemonic,red4,red
0.5,ab,0,Mnemonic,blue1,blue
