target,distractor1,distractor2,distractor3,symbol,response,selected,context,trial,block,condition,participant,response.new,num.array,category
blue_1,green_1,red_1,purple_1,s2,correct,blue_1,c1,0,0,Mnemonic,aa,1,4,blue
red_3,blue_3,green_3,purple_3,s9,incorrect,purple_3,c3,1,0,Mnemonic,aa,0,4,red
blue_2,green_2,red_2,purple_2,s6,incorrect,purple_2,c4,2,0,Mnemonic,aa,0,4,blue
purple_2,blue_2,green_2,red_2,s3,incorrect,red_2,c2,3,0,Mnemonic,aa,0,4,purple
green_3,blue_3,red_3,purple_3,s5,incorrect,red_3,c3,4,0,Mnemonic,aa,0,4,green
green_2,blue_2,red_2,purple_2,s13,incorrect,purple_2,c2,5,0,Mnemonic,aa,0,4,green
green_1,blue_1,red_1,purple_1,s13,correct,green_1,c1,6,0,Mnemonic,aa,1,4,green
purple_3,blue_3,green_3,red_3,s6,incorrect,green_3,c3,7,0,Mnemonic,aa,0,4,purple
blue_3,green_3,red_3,purple_3,s10,correct,blue_3,c3,8,0,Mnemonic,aa,1,4,blue
red_2,blue_2,green_2,purple_2,s3,correct,red_2,c2,9,0,Mnemonic,aa,1,4,red
blue_4,green_4,red_4,purple_4,s12,incorrect,purple_4,c4,10,0,Mnemonic,aa,0,4,blue
purple_4,blue_4,green_4,red_4,s10,incorrect,green_4,c4,11,0,Mnemonic,aa,0,4,purple
red_1,blue_1,green_1,purple_1,s3,incorrect,green_1,c1,12,0,Mnemonic,aa,0,4,red
red_4,blue_4,green_4,purple_4,s6,incorrect,green_4,c4,13,0,Mnemonic,aa,0,4,red
purple_1,blue_1,green_1,red_1,s13,incorrect,red_1,c1,14,0,Mnemonic,aa,0,4,purple
green_4,blue_4,red_4,purple_4,s9,incorrect,red_4,c4,15,0,Mnemonic,aa,0,4,green
blue_4,green_4,red_4,purple_4,s12,incorrect,red_4,c4,16,1,Mnemonic,aa,0,4,blue
red_4,blue_4,green_4,purple_4,s10,incorrect,purple_4,c4,17,1,Mnemonic,aa,0,4,red
purple_1,blue_1,green_1,red_1,s4,incorrect,green_1,c1,18,1,Mnemonic,aa,0,4,purple
blue_1,green_1,red_1,purple_1,s2,incorrect,green_1,c1,19,1,Mnemonic,aa,0,4,blue
purple_2,blue_2,green_2,red_2,s15,incorrect,green_2,c2,20,1,Mnemonic,aa,0,4,purple
blue_2,green_2,red_2,purple_2,s6,incorrect,purple_2,c2,21,1,Mnemonic,aa,0,4,blue
green_3,blue_3,red_3,purple_3,s12,correct,green_3,c3,22,1,Mnemonic,aa,1,4,green
blue_3,green_3,red_3,purple_3,s9,correct,blue_3,c3,23,1,Mnemonic,aa,1,4,blue
purple_3,blue_3,green_3,red_3,s15,correct,purple_3,c3,24,1,Mnemonic,aa,1,4,purple
red_2,blue_2,green_2,purple_2,s3,incorrect,purple_2,c2,25,1,Mnemonic,aa,0,4,red
red_3,blue_3,green_3,purple_3,s11,incorrect,purple_3,c3,26,1,Mnemonic,aa,0,4,red
green_2,blue_2,red_2,purple_2,s10,incorrect,red_2,c2,27,1,Mnemonic,aa,0,4,green
green_1,blue_1,red_1,purple_1,s15,incorrect,purple_1,c1,28,1,Mnemonic,aa,0,4,green
red_1,blue_1,green_1,purple_1,s3,correct,red_1,c1,29,1,Mnemonic,aa,1,4,red
green_4,blue_4,red_4,purple_4,s10,incorrect,blue_4,c4,30,1,Mnemonic,aa,0,4,green
purple_4,blue_4,green_4,red_4,s10,incorrect,green_4,c4,31,1,Mnemonic,aa,0,4,purple
purple_1,blue_1,green_1,red_1,s15,incorrect,red_1,c1,32,2,Mnemonic,aa,0,4,purple
red_2,blue_2,green_2,purple_2,s1,correct,red_2,c2,33,2,Mnemonic,aa,1,4,red
blue_4,green_4,red_4,purple_4,s8,correct,blue_4,c4,34,2,Mnemonic,aa,1,4,blue
blue_2,green_2,red_2,purple_2,s4,incorrect,purple_2,c2,35,2,Mnemonic,aa,0,4,blue
green_2,blue_2,red_2,purple_2,s11,correct,green_2,c2,36,2,Mnemonic,aa,1,4,green
blue_1,green_1,red_1,purple_1,s2,correct,blue_1,c1,37,2,Mnemonic,aa,1,4,blue
purple_4,blue_4,green_4,red_4,s6,incorrect,blue_4,c4,38,2,Mnemonic,aa,0,4,purple
blue_3,green_3,red_3,purple_3,s7,correct,blue_3,c3,39,2,Mnemonic,aa,1,4,blue
purple_2,blue_2,green_2,red_2,s16,correct,purple_2,c2,40,2,Mnemonic,aa,1,4,purple
red_4,blue_4,green_4,purple_4,s8,incorrect,purple_4,c4,41,2,Mnemonic,aa,0,4,red
